	NMI_0	NMI_0.25	NMI_0.5	NMI_0.75	NMI_1
affinity_propagation	0.7614911754355443	0.7666470262736216	0.7775294653906104	0.7949549774330757	0.8205360847519731
ward_hierarchical	0.9374103532185355	0.40772263669443093	0.26265050691885233	0.19394689977083895	0.15378594719027228
cosine_single_linkage_hierarchical	0.9759945286987561	0.047469097874473606	0.024632353625118113	0.01663409186821615	0.012557245292600541
euclidean_single_linkage_hierarchical	0.9999999999999994	0.06802146532762372	0.03649331414690451	0.02496290801413809	0.01897383797142161
dbscan		0.018553663042867208	0.009490616772016139	0.006376179916726199	0.004800781301459864
pairwise_matching_at_0.40	0.976645209064395	0.9240750498518857	0.8783225721110535	0.8379614881491546	0.8019665252708318
pairwise_matching_at_0.50	0.9757183856072249	0.9525869146079525	0.9307103219146894	0.9099812236260547	0.890304653039499
pairwise_matching_at_0.60	0.9715783285859784	0.9592691445237367	0.9475441814219667	0.9363618211332024	0.9256846400787676
pairwise_matching_at_0.70	0.9642926849612017	0.961871426452956	0.9596397753915138	0.9575948459039297	0.9557343278141026
pairwise_matching_at_0.75	0.961893101650856	0.963252635155078	0.9648656391465955	0.9667380442219565	0.9688768917576379
pairwise_matching_at_0.80	0.9553673014273677	0.9606457532434204	0.9663052277194529	0.972365313603858	0.9788481741191036
pairwise_matching_at_0.85	0.9507563245534956	0.9617745065229932	0.9732081753509576	0.9850883253618695	0.9974496013426186
pairwise_matching_at_0.90	0.9402729576782576	0.9541370789046392	0.9685860424336361	0.9836639963745656	0.9994201036805068
pairwise_matching_at_0.95	0.9403106383595061	0.9542968587495677	0.9688764270214948	0.9840941712479507	1.0
