Ulcerative colitis
	NEC - Necrotizing enterocolitis
	Crohn's disease
	Gastric varices
	Peptic ulcer disease
	Aspirin induced bleeding
	Stomach cancer
	Colon cancer
	Acute ischemic colitis
	Inflammatory diarrhea
	IBD - Inflammatory bowel disease
	Clostridium difficile colitis
	Ulcerative colitis
	Ischemic bowel disease
	Gastric ulcer
	Proctitis
	Diverticulitis of large intestine
	Infectious gastroenteritis and colitis
	Hemorrhoids
	Diverticulitis
	Colitis
	Transient ischemic colitis
	Haemorrhoids
	Gastric malignancy
	Esophagitis
	Acute pancreatitis
	Inflammatory Bowel Disease
	Diverticular disease of intestine
	Irritable bowel syndrome
	Ischemic colitis
	Colonic ischemia
	Ischemic colon
	Mesenteric ischemia
Volvulus
	Volvulus
Myocardial infarction
	Myocardial infarction
Aortointestinal fistula
	Aortointestinal fistula
