,GMR,small cases,all
Adjusted Rand Index,0.65,0.8645833333333334,0.7670454545454546
Adjusted Mutual Information,0.65,0.8541666666666666,0.7613636363636364
Mutual Information,0.65,0.9791666666666666,0.8295454545454546
NMI_0,0.4875,0.5416666666666666,0.5170454545454546
NMI_0.25,0.65,0.9375,0.8068181818181818
Normalized Mutual Information,0.65,0.9583333333333334,0.8181818181818182
NMI_0.75,0.65,0.9791666666666666,0.8295454545454546
NMI_1,0.65,0.9791666666666666,0.8295454545454546
Homogeneity,0.65,0.9791666666666666,0.8295454545454546
Completeness,0.5875,0.6354166666666666,0.6136363636363636
V-Measure,0.65,0.9791666666666666,0.8295454545454546
Fowlkes-Mallows Score,0.65,0.75,0.7045454545454546
Precision,0.65,0.7708333333333334,0.7159090909090909
F_0.5,0.65,0.7708333333333334,0.7159090909090909
Jaccard Index,0.65,0.7708333333333334,0.7159090909090909
F_2,0.65,0.7708333333333334,0.7159090909090909
F_4,0.65,0.75,0.7045454545454546
F_8,0.65,0.75,0.7045454545454546
F_16,0.675,0.75,0.7159090909090909
Recall,0.5875,0.5625,0.5738636363636364
